,MSRDT_DE,MSRRGN_NM,MSRSTE_NM,PM10,PM25,O3,NO2,CO,SO2
0,20190101,도심권,중구,38.0,26.0,0.019,0.032,0.6,0.003
1,20190101,도심권,종로구,35.0,22.0,0.016,0.033,0.7,0.004
2,20190101,도심권,용산구,31.0,25.0,0.013,0.033,0.6,0.003
3,20190101,서북권,은평구,34.0,23.0,0.019,0.024,0.9,0.005
4,20190101,서북권,서대문구,38.0,27.0,0.016,0.028,1.0,0.005
5,20190101,서북권,마포구,42.0,18.0,0.014,0.022,0.5,0.003
6,20190101,동북권,광진구,37.0,26.0,0.01,0.036,1.1,0.004
7,20190101,동북권,성동구,46.0,29.0,0.015,0.033,0.6,0.003
8,20190101,동북권,중랑구,36.0,26.0,0.012,0.032,0.7,0.007
9,20190101,동북권,동대문구,37.0,31.0,0.015,0.033,0.8,0.007
10,20190101,동북권,성북구,38.0,21.0,0.014,0.038,0.8,0.004
11,20190101,동북권,도봉구,36.0,25.0,0.018,0.026,1.2,0.004
12,20190101,동북권,강북구,46.0,29.0,0.019,0.026,0.6,0.003
13,20190101,동북권,노원구,44.0,32.0,0.013,0.033,0.7,0.005
14,20190101,서남권,강서구,47.0,25.0,0.017,0.03,0.6,0.005
15,20190101,서남권,구로구,34.0,18.0,0.016,0.028,0.4,0.006
16,20190101,서남권,영등포구,40.0,28.0,0.015,0.023,0.7,0.004
17,20190101,서남권,동작구,43.0,28.0,0.015,0.034,0.5,0.003
18,20190101,서남권,관악구,41.0,29.0,0.016,0.036,0.5,0.005
19,20190101,서남권,금천구,34.0,25.0,0.014,0.034,0.6,0.004
20,20190101,서남권,양천구,46.0,29.0,0.014,0.033,0.6,0.002
21,20190101,동남권,강남구,37.0,31.0,0.012,0.028,0.6,0.005
22,20190101,동남권,서초구,37.0,20.0,0.015,0.032,0.4,0.004
23,20190101,동남권,송파구,44.0,28.0,0.011,0.042,0.8,0.004
24,20190101,동남권,강동구,43.0,32.0,0.01,0.04,0.8,0.005
0,20190102,도심권,중구,31.0,21.0,0.017,0.034,0.5,0.004
1,20190102,도심권,종로구,31.0,19.0,0.014,0.034,0.7,0.004
2,20190102,도심권,용산구,24.0,18.0,0.013,0.034,0.5,0.003
3,20190102,서북권,은평구,29.0,19.0,0.018,0.026,1.0,0.005
4,20190102,서북권,서대문구,32.0,22.0,0.013,0.03,1.0,0.005
5,20190102,서북권,마포구,38.0,18.0,0.009,0.029,0.6,0.003
6,20190102,동북권,광진구,31.0,20.0,0.007,0.039,1.1,0.004
7,20190102,동북권,성동구,39.0,24.0,0.011,0.038,0.6,0.003
8,20190102,동북권,중랑구,28.0,21.0,0.012,0.031,0.6,0.007
9,20190102,동북권,동대문구,30.0,24.0,0.014,0.033,0.7,0.007
10,20190102,동북권,성북구,32.0,17.0,0.01,0.046,0.9,0.004
11,20190102,동북권,도봉구,29.0,21.0,0.017,0.027,1.1,0.004
12,20190102,동북권,강북구,36.0,23.0,0.017,0.029,0.6,0.003
13,20190102,동북권,노원구,36.0,26.0,0.011,0.037,0.7,0.006
14,20190102,서남권,강서구,41.0,23.0,0.015,0.036,0.6,0.006
15,20190102,서남권,구로구,32.0,15.0,0.014,0.034,0.4,0.006
16,20190102,서남권,영등포구,37.0,25.0,0.013,0.029,0.8,0.005
17,20190102,서남권,동작구,34.0,23.0,0.011,0.041,0.6,0.004
18,20190102,서남권,관악구,36.0,25.0,0.013,0.045,0.5,0.006
19,20190102,서남권,금천구,33.0,24.0,0.011,0.041,0.6,0.005
20,20190102,서남권,양천구,40.0,24.0,0.012,0.039,0.6,0.003
21,20190102,동남권,강남구,31.0,25.0,0.01,0.032,0.6,0.006
22,20190102,동남권,서초구,26.0,11.0,0.014,0.035,0.3,0.004
23,20190102,동남권,송파구,37.0,21.0,0.009,0.042,0.7,0.004
24,20190102,동남권,강동구,34.0,25.0,0.009,0.04,0.6,0.005
0,20190103,도심권,중구,35.0,21.0,0.008,0.046,0.6,0.004
1,20190103,도심권,종로구,36.0,21.0,0.007,0.048,0.8,0.005
2,20190103,도심권,용산구,29.0,20.0,0.005,0.046,0.6,0.004
3,20190103,서북권,은평구,34.0,19.0,0.01,0.034,0.8,0.005
4,20190103,서북권,서대문구,38.0,23.0,0.009,0.034,1.1,0.006
5,20190103,서북권,마포구,38.0,19.0,0.007,0.029,0.6,0.002
6,20190103,동북권,광진구,43.0,27.0,0.003,0.05,1.3,0.005
7,20190103,동북권,성동구,45.0,27.0,0.006,0.045,0.6,0.004
8,20190103,동북권,중랑구,36.0,25.0,0.006,0.04,0.7,0.007
9,20190103,동북권,동대문구,36.0,29.0,0.006,0.047,0.8,0.008
10,20190103,동북권,성북구,42.0,19.0,0.005,0.053,0.9,0.005
11,20190103,동북권,도봉구,40.0,25.0,0.007,0.039,1.0,0.004
12,20190103,동북권,강북구,45.0,28.0,0.01,0.038,0.7,0.003
13,20190103,동북권,노원구,49.0,33.0,0.005,0.049,0.9,0.006
14,20190103,서남권,강서구,44.0,20.0,0.009,0.042,0.6,0.006
15,20190103,서남권,구로구,32.0,13.0,0.011,0.037,0.4,0.007
16,20190103,서남권,영등포구,39.0,23.0,0.009,0.034,0.8,0.005
17,20190103,서남권,동작구,33.0,21.0,0.009,0.046,0.6,0.004
18,20190103,서남권,관악구,37.0,23.0,0.01,0.049,0.5,0.006
19,20190103,서남권,금천구,31.0,21.0,0.008,0.046,0.6,0.005
20,20190103,서남권,양천구,39.0,21.0,0.01,0.042,0.6,0.003
21,20190103,동남권,강남구,40.0,30.0,0.004,0.043,0.8,0.006
22,20190103,동남권,서초구,30.0,12.0,0.007,0.041,0.4,0.005
23,20190103,동남권,송파구,51.0,29.0,0.004,0.055,0.9,0.005
24,20190103,동남권,강동구,48.0,35.0,0.004,0.053,0.8,0.006
0,20190104,도심권,중구,55.0,37.0,0.003,0.068,1.0,0.006
1,20190104,도심권,종로구,56.0,36.0,0.003,0.068,1.3,0.005
2,20190104,도심권,용산구,50.0,40.0,0.002,0.064,1.0,0.006
3,20190104,서북권,은평구,54.0,34.0,0.005,0.054,1.0,0.006
4,20190104,서북권,서대문구,57.0,42.0,0.003,0.05,1.4,0.007
5,20190104,서북권,마포구,67.0,41.0,0.003,0.047,1.1,0.004
6,20190104,동북권,광진구,59.0,40.0,0.002,0.057,1.4,0.005
7,20190104,동북권,성동구,73.0,46.0,0.003,0.057,1.0,0.005
8,20190104,동북권,중랑구,51.0,37.0,0.003,0.053,0.9,0.008
9,20190104,동북권,동대문구,59.0,49.0,0.004,0.06,1.1,0.008
10,20190104,동북권,성북구,54.0,33.0,0.003,0.069,1.3,0.006
